X : -250 , Y : 237.5
X : -150 , Y : 550
X : -50 ,  Y : 600
X : 50 ,   Y : 650
X : 250 ,  Y : 875
X : 150 ,  Y : 1100
X : 50 ,   Y : 1150
X : -50 ,  Y : 1200
X : -150 , Y : 1250
X : -250 , Y : 1300
X : -150 , Y : 1350
X : -50 ,  Y : 1400
X : 50 ,   Y : 1450
X : 150 ,  Y : 1512.5
X : 250 ,  Y : 1750
X : 250 ,  Y : 1775
X : 150 ,  Y : 1825
X : 50 ,   Y : 1862.5
X : -250 , Y : 1900
X : -150 , Y : 2175
X : -150 , Y : 2200
X : -50 ,  Y : 2250
X : 50 ,   Y : 2287.5
X : 150 ,  Y : 2325
X : 250 ,  Y : 2600
X : 250 ,  Y : 2625
X : 150 ,  Y : 2675
X : 50 ,   Y : 2712.5
X : -50 ,  Y : 2750
E

